total_steps,total_reward,epsilon,total_q_values,total_loss
84801,12.0,0.1,0.03992356004414225,0.00010160185940333501
84930,0.0,0.1,0.04319986065690832,9.615691678211374e-05
85181,3.0,0.1,0.048540289153853264,0.00018386559269450832
85360,2.0,0.1,0.04532905788727979,0.00011388497562381808
85502,0.0,0.1,0.04607702838912816,0.00013119425338899558
85675,1.0,0.1,0.05010892532636665,0.00010744716850650427
85814,0.0,0.1,0.04080082781666474,0.00010393073215637618
85936,0.0,0.1,0.04720800492118617,0.0001277731828208818
86158,1.0,0.1,0.04285609406662417,0.000129647325363974
86355,1.0,0.1,0.04629650190094401,0.00017015777286111087
86501,0.0,0.1,0.04657586536382976,0.00014021999097217118
86630,0.0,0.1,0.04813520904890327,0.00017260865918565957
86846,3.0,0.1,0.04746532905846834,0.00013018600008796999
87033,2.0,0.1,0.05085026309451955,0.00013150325066622914
87191,0.0,0.1,0.047539284240595905,0.00012772650668783263
87452,3.0,0.1,0.051167168122826866,0.00010660903898709618
87643,2.0,0.1,0.050150565803050995,0.00014171453877151043
87905,3.0,0.1,0.05579464700613313,0.00012882999575220116
88035,0.0,0.1,0.05602456801212751,0.00011759766787760712
88167,0.0,0.1,0.05207731145800966,0.00016373671819151653
88346,1.0,0.1,0.055935673498907566,0.00012013266619028883
88564,3.0,0.1,0.055993310047672426,0.00014066040698332613
88824,3.0,0.1,0.05413309375827129,0.00014844942581056296
88951,0.0,0.1,0.05275192686657267,0.00017911582371892817
89302,3.0,0.1,0.05586568225822557,0.00017586821143613583
89465,1.0,0.1,0.05531710989636146,0.00018696013329717748
89820,5.0,0.1,0.05437849669809073,0.00013368425072360585
89982,1.0,0.1,0.06019878672596849,0.00015948017926909673
90302,1.0,0.1,0.05958972561638802,0.00017141368633701858
90434,0.0,0.1,0.06148661345695004,0.00014132363536522132
90581,0.0,0.1,0.06207355471695362,0.00012909005167197158
90807,3.0,0.1,0.06176642615315134,0.00012568775250213797
91059,2.0,0.1,0.06111985291280444,0.0001222238274099904
91374,4.0,0.1,0.06512346430903389,0.00014288550930994837
91729,3.0,0.1,0.06401442835028742,0.00015606040493290033
91983,2.0,0.1,0.06776680709339503,0.0001459943102998109
92121,0.0,0.1,0.06512049445207568,0.0001267642416507073
92318,2.0,0.1,0.065676680298021,0.00012187411323742855
92589,3.0,0.1,0.06757518566622506,0.00015107323172061044
92714,0.0,0.1,0.06357347726821899,0.00017920323915313928
92909,1.0,0.1,0.06801103980113299,0.00016343892281069062
93053,0.0,0.1,0.06799669501682122,0.0001597573461569684
93511,8.0,0.1,0.06663130077342279,0.00012489211003889082
93761,3.0,0.1,0.07076089382171631,0.00014135566225741058
93888,0.0,0.1,0.07277893175290326,0.0002236930107125851
94204,3.0,0.1,0.07198022937850107,0.00018296715844843663
94417,1.0,0.1,0.07413317493989434,0.00018064420399181719
94675,3.0,0.1,0.0696905483455621,0.00013003706303853793
94857,1.0,0.1,0.07563766214873764,9.428784226027067e-05
95126,1.0,0.1,0.07641382376943823,0.00016017405625772888
95294,0.0,0.1,0.07668755709060601,0.00020418277476675853
95478,2.0,0.1,0.07398797685037488,0.00017296859977764342
95760,3.0,0.1,0.07106214957245698,0.00014440096639829904
95894,0.0,0.1,0.07911437905546445,0.00016202166932374377
96191,4.0,0.1,0.07607609996891986,0.00015911668499017225
96319,0.0,0.1,0.07820902916137129,0.00014397770320329073
96630,4.0,0.1,0.07863280502929565,0.00021463923242917866
96765,0.0,0.1,0.07860394749376509,0.00019978978498666375
97090,3.0,0.1,0.07801078528165817,0.00015954736200700817
97212,0.0,0.1,0.07705114995602702,0.0001456494090413545
97343,0.0,0.1,0.07659620461800626,0.0002357725240423465
97473,0.0,0.1,0.0797928274824069,0.00010392991109536244
97654,2.0,0.1,0.07963340552472278,0.00023050015643997972
97881,3.0,0.1,0.0817151992594093,0.0001923952503670889
98033,1.0,0.1,0.07794045088322539,0.00013904462435962878
98332,4.0,0.1,0.07634657631351,0.0001616642007031509
98533,2.0,0.1,0.07619601977405263,0.00023347718086741187
98731,2.0,0.1,0.07993135405610306,0.00013533100240917953
98967,3.0,0.1,0.08281537019095178,0.00022565430308686238
99149,2.0,0.1,0.0829896962085923,0.00014302155274320856
99385,2.0,0.1,0.08166500837621042,0.00026150423193831883
99659,4.0,0.1,0.08298075291579657,0.00016603083801192375
99904,3.0,0.1,0.08658951575658759,0.00017079784342132945
100101,2.0,0.1,0.08874872984922477,0.00019828538369886142
